label-coarse,text
OTHERS,what is the recommended daily requirement for folic acid for pregnant women ?
OTHERS,what blood sport features a movement called a veronica ?
OTHERS,what is the difference between the anus and the rectum ?
OTHERS,what tv quiz show left the air in 1975 to the tune of vera lynn 's we 'll meet again ?
OTHERS,what do you do when your mouse is n't working as fast as it 's supposed to ?
OTHERS,"how can people from ireland come to the u.s. , work , and then return to ireland ?"
3,what army was founded by william booth and his wife catherine ?
OTHERS,"what molecules include fluorine , sodium and magnesium ?"
5,where can i get information on the original 13 us colonies ?
OTHERS,what are pushed and coupled in hump yards ?
OTHERS,what are the poconos ?
OTHERS,what is the nickname of the cleveland indians ?
4,how many queen bees reign in a hive ?
OTHERS,what does the name calder mean ?
4,what is the average age a horse lives ?
OTHERS,what is the use of a 24-hour clock instead of a 12-hour clock ?
3,who built the first pyramid ?
5,what u.s. state ends with a g ?
4,how many months does it take the moon to revolve around the earth ?
OTHERS,"what product is for kids , and not for silly rabbits ?"
5,what is the website for the usa journal ?
4,how long would it take to get from earth to mars ?
OTHERS,"what is the longest chemical name , consisting of 35 letters ?"
3,what barroom judge called himself the law west of the pecos ?
5,what 's the only east european country not tied to the ruble ?
OTHERS,what was the killer whale who died at sea world of a fungal infection named ?
OTHERS,"in waugh 's `` a handful of dust , '' what does the mad old man force the hero to do every afternoon ?"
OTHERS,what kind of education do i need to become a flight attendant ?
5,where are the busiest ports in the world ?
OTHERS,what device provided a new way to listen to music in 1963 ?
OTHERS,what is betsy ross famous for ?
OTHERS,what document did president andrew johnson want a copy of placed under his head upon his burial ?
3,what tv character sired a horse named thunder ?
3,what u.s. vice-president killed alexander hamilton in a duel ?
5,where does barney rubble go to work after he drops fred off in the `` flintstones '' cartoon series ?
OTHERS,what is a storm surge ?
OTHERS,"what nuclear-powered russian submarine sank in the norwegian sea on april 7 , 1989 ?"
OTHERS,what shakespearean play featured shylock ?
5,where can i learn about samuel gompers ?
3,who wrote sons and lovers ?
4,how many quarters equal a pound ?
OTHERS,what is the dot on an the letter i called ?
4,how big is a baby bald eagle ?
4,how much money was the minimum wage in 1991 ?
3,what world war ii leader declared : `` the blow has been struck '' ?
4,how long do you have to pay back debt after claiming chapter 11 bankruptcy ?
3,what u.s. president showed a fondness for munching on bee pollen bars ?
OTHERS,what is the largest variety of cactus ?
3,what spanish artist painted crucifixion ?
5,where is kings canyon ?
2,"what do the letters d.c. stand for in washington , d.c. ?"
3,who are woody woodpecker 's niece and nephew ?
OTHERS,what was the first lifesaver flavor ?
3,who said `` what contemptible scoundrel stole the cork from my lunch ? ''
3,who did dita beard work for ?
OTHERS,what are the twin cities ?
4,how many sonnets did shakespeare write ?
4,"what 's the population of biloxi , mississippi ?"
OTHERS,what is the origin of the word `` mind '' ?
4,how many rings are there on a five-zone archery target ?
3,name the university of which woodrow wilson was president .
OTHERS,what did john hinckley do to impress jodie foster ?
5,where was george washington born ?
5,what is a country that starts with the letter x ?
4,how many horses are there on a polo team ?
5,what european country 's monarchy was restored in 1975 ?
OTHERS,what does a deltiologist collect ?
OTHERS,what is the origin of the term `` buffalo wings '' that is used as a menu item in bars across the nation for chicken wings in a spicey sauce ?
4,when was richard nixon born ?
OTHERS,how can i give myself a french manicure ?
OTHERS,what is a fear of hell ?
3,who was the king who was forced to agree to the magna carta ?
OTHERS,how do you tell somebody you like them ?
3,what athlete makes the most money from sports merchandise sales ?
4,how high is the city of denver ?
OTHERS,how do you measure the heat of the sun ?
3,what mustachioed comedian portrayed frankie in north to alaska ?
3,who led the normans to victory in the battle of hastings ?
4,how many cities are there in utah ?
OTHERS,what is the origin of the typing practice sentence `` now is the time for all good men to come to the aid of their country '' ?
OTHERS,what condiment do the dutch dip their french fries in ?
OTHERS,what is hypnotherapy ?
OTHERS,how do i e-mail someone at aol.com from yahoo.com ?
5,where did the battle of the bulge take place ?
OTHERS,in what movie is the number nine found in the title ?
3,who was the star witness at the senate watergate hearings ?
OTHERS,what is the name of the kids ' show from canadian public tv with the singing pineapple ?
3,which of the following celebrities was not born in philadelphia ?
OTHERS,what does playboy title its `` continuing dialog on contemporary issues between playboy and its readers '' ?
4,how many of them are in sub-saharan africa ?
OTHERS,what is the difference between microprocessors & microcontrollers ?
OTHERS,"in beetle bailey , can you name sarge 's dog ?"
OTHERS,how do you say `` grandma '' in irish ?
4,how many people did randy craft kill ?
OTHERS,what film or films has jude law appeared in ?
OTHERS,what morris west novel deals with russian bishop who becomes pope ?
OTHERS,what ability has the silkworm moth lost through domestication ?
4,cnn 's first broadcast occurred on what date ?
3,who invented batteries ?
5,what two caribbean countries share the island of hispaniola ?
4,how fast can a corvette go ?
3,who invented the moog synthesizer ?
OTHERS,what is the term for the sum of all genetic material in a given organism ?
OTHERS,what is the difference between a college and a university ?
5,what u.s. state 's biggest lake is lake sam rayburn ?
3,who directed citizen kane ?
3,who else was considered for the role of luke skywalker when george lucas was casting for star wars ?
4,when was general manuel noriega ousted as the leader of panama and turned over to u.s. authorities ?
3,what south african producer had a 1988 profit of $836 million ?
OTHERS,what are the titles of some r-rated sony playstation games ?
4,how many americans have hiv ?
OTHERS,what are the different types of plastic ?
5,where can i get a photograph of professor randolph quirk ?
OTHERS,"what was al capone finally imprisoned for , in 1931 ?"
5,what kenyan city is the safari center for east africa ?
OTHERS,what golfing accessory was patented by george grant on december 12
OTHERS,what other name were the `` little rascals '' known as ?
OTHERS,what sport does chris jogis play ?
OTHERS,what does gringo mean ?
4,what is the estimated total u.s. whitetail deer population ?
3,what little boy and dog live in a shoe ?
3,who developed potlatch ?
OTHERS,how is it correct to say ` qigong ' ?
5,where is the official `` zero '' of the sea level ?
4,when does menstruation begin ?
3,who was the president of vichy france ?
4,how long did shea and gould practice law in los angeles ?
OTHERS,madonna advertises for what soft drink ?
OTHERS,why do they call it a `` funny bone '' ?
5,what is the leading pecan and peanut growing state ?
4,"how many megawatts will the power project in indonesia , built by a consortium headed by mission energy of us , produce ?"
4,how many visitors go to the vatican each year ?
OTHERS,"what did 8 , cd nns vbp to vb nnp pos nn ."
3,"what tv comedian worked with white fang , black tooth and pookie the lion ?"
3,who made the most appearances in the center square on hollywood squares ?
OTHERS,what is glass made of ?
5,where can i find a `` fifth element '' screensaver ?
3,"who wrote the sci-fi trilogy foundation , foundation and empire , and second foundation ?"
OTHERS,what is a transistor ?
OTHERS,what is nero wolfe 's favorite drink during office hours ?
OTHERS,how do i know if i 'm jealous of someone ?
OTHERS,what was the worst hurricane ?
4,what 's the population of mississippi ?
5,where does most of the marijuana entering the united states come from ?
OTHERS,what kind of species is the monster in the film `` jaws '' ?
OTHERS,what is the history of `` the toast '' ?
OTHERS,what color are the castellated walls of the kremlin ?
5,where are good science sites on the internet ?
4,how many degrees cooler is the inside of a cucumber than the air outside ?
3,who bestowed great power upon captain britain ?
5,where is the thomas edison museum ?
3,who made the first airplane ?
4,how long does it take light to reach the earth from the sun ?
3,"what u.s. congressman said : `` keep the faith , baby '' ."
3,"who played the part of the godfather in the movie , ` the godfather ' ?"
4,how many types of cheese are there in france ?
5,where is mccarren airport located ?
OTHERS,what does las vegas mean ?
5,what is answers.com 's address ?
OTHERS,what 's the second-most-used murder weapon in the u.s. ?
OTHERS,what 's the meaning of the name tatiana ?
OTHERS,what 's the meaning of uol ?
3,who is the creator of `` the muppets '' ?
OTHERS,what are the four elements ?
OTHERS,hazmat stands for what ?
5,where do people mountain climb in nepal ?
3,which company that manufactures video-game hardware sells the `` super system '' ?
OTHERS,"what indoor sport saw the phoenix inferno become the phoenix pride on july 14 , 1983 , when the temperature hit 111 degrees ?"
OTHERS,how can i find a phone number of someone if i only know their email address ?
5,what is the name of the planet that the ewoks live on ?
OTHERS,what disease is the second-biggest killer of north americans ?
OTHERS,what is the definition of the term `` weapons system '' ?
OTHERS,what is a mexican hairless ?
OTHERS,what is a courier ?
3,who 's the only president buried in washington
OTHERS,what is a virtual ip address ?
OTHERS,what is the difference between a classical and an acoustic guitar ?
OTHERS,what part of their attire were `` pothooks '' to cowboys of the old west ?
3,what is the best internet business to go into ?
OTHERS,why is chicago named chicago ?
OTHERS,what does `` semper fidelis '' mean ?
4,how many people died on d-day ?
OTHERS,why do they sterilize the needle for lethal injection ?
5,what caribbean island is sometimes called little england ?
3,who portrayed field marshal erwin rommel in the desert fox ?
OTHERS,how do you make the color purple ?
3,what store does martha stewart advertise for ?
OTHERS,"to get the most caffeine , what soda should i drink ?"
OTHERS,what are the low countries ?
4,how many questions are on this thing ?
4,in what year did ireland elect its first woman president ?
4,what year did apartheid start ?
OTHERS,what is multimedia ?
3,what actor said in a day at the races : `` either he 's dead or my watch has stopped '' ?
5,what desert has the highest sand dunes ?
4,when was the bar-code invented ?
OTHERS,what is the brand name of the chemical daminozide ?
5,in what city is the headquarters of sinn fein ?
OTHERS,what is the primary language of the philippines ?
3,who sings the song `` drink to me with thine eyes '' by ben johnson ?
3,who was scrooge 's dead partner in dickens 's a christmas carol ?
4,"what is the per-capita income of colombia , south america , ?"
4,what does an average daycare provider get paid in new england ?
OTHERS,what is a wop ?
OTHERS,how do they produce vitamins ?
4,what is the death toll of people dying from tuberculosis ?
OTHERS,what soft drink is most heavily caffeinated ?
4,what year did the vietnam war end ?
OTHERS,what war added jeep and quisling to the english language ?
4,how many words are there in the spanish language ?
5,where are the 49 steps ?
5,what river does the grand coulee dam dam ?
3,what was the name of the daughter of the virginia chief powhatan that married john rolfe ?
OTHERS,what is the most common kind of skin cancer in the u.s. ?
3,who declared : `` i am down on whores and i shan 't stop ripping them '' ?
3,what was the name of the us helicopter pilot shot down over north korea ?
3,what was the previous name for the commonwealth ?
3,"who wrote the book , `` huckleberry finn '' ?"
OTHERS,what is a fear of thunder ?
OTHERS,what was unusual about alexandra 's appearance in josie and the pussycats ?
4,"how many miles is it from frankfurt , germany to salzburg , austria ?"
5,what country has the port of haifa ?
5,where are there aborigines ?
5,where can i find info on alexander mackenzie ?
OTHERS,what does the ouarterly review of doublespeak call an `` inoperative statement '' ?
4,when is president nixon 's birthday ?
4,what 's the first day of the week ?
4,when did thatcher become prime minister ?
5,what country 's flag is field green ?
3,"who lives at 24 sussex drive , ottawa ?"
OTHERS,how do anti-locking brakes work ?
OTHERS,what 's the term for any four-sided figure ?
OTHERS,what food did marco polo introduce into italy from the court of kubla khan ?
OTHERS,what is a common anti-aids drug ?
OTHERS,what are binomial coefficients ?
4,what is the normal resting heart rate of a healthy adult ?
OTHERS,which mayonnaise refers to itself as `` real '' mayonnaise ?
4,what 's the score of a forfeited baseball game ?
5,what desert has been called the garden of allah ?
OTHERS,what j.r.r. tolkien book features gimli as a central character ?
OTHERS,what 1956 grace metalious novel was on the best-seller list for two years ?
4,how many varieties of twins are there ?
OTHERS,what are some translations of the phrase `` thank-you '' ?
3,what is the present pope named ?
3,who was nicknamed the little corporal ?
5,what asian gulf were the destroyers maddox and c turner joy shot up in ?
5,where can i find examples of legal cases about the individuals with disabilities education act ?
5,where in the united states do people live the longest ?
OTHERS,what is the brand name of a chemical used to control ripening ?
OTHERS,"what is a fear of odors , body , ?"
OTHERS,what are the first and last letters of the greek alphabet ?
5,"what country surrounds san marino , the world 's smallest republic ?"
5,what u.s. city was named for st. francis of assisi ?
4,the shea & gould law firm had an office in l.a. for how many years ?
OTHERS,what is the literal meaning of `` d-day '' ?
3,"who is karenna gore , al gore 's oldest daughter , married to ?"
5,where do lobsters like to live ?
OTHERS,what did jimmy stewart invent ?
OTHERS,what is `` the only cigarette made with no leftovers '' ?
OTHERS,what happened to moon maiden ?
3,who was the first russian astronaut to walk in space ?
5,"what country boasts cawdor castle , glamis castle , and blair castle ?"
OTHERS,what was the top box office movie in april 1998 ?
5,what is the name of the country which hitler ruled ?
5,which country is australia 's largest export market ?
4,how many bones are there in the human hand ?
5,where did honecker rule ?
OTHERS,how can i gain access to a spy satelite ?
OTHERS,what is it like to experience a near death episode ?
OTHERS,what war did johnny reb and billy yank fight ?
OTHERS,what movie did madilyn kahn star in with gene wilder ?
OTHERS,what letter is to the right of k on a typewriter keyboard ?
OTHERS,what are the words to the canadian national anthem ?
OTHERS,"what do the number 1 , 2 , and 4 mean on dr. pepper bottles ?"
5,what city 's airport is named logan international ?
3,what college produced the most winning super bowl quarterbacks ?
4,how many colleges are in wyoming ?
5,what is the habitat of the chickadee ?
4,when did mount st. helen last have a major eruption ?
5,"what country did the nazis occupy for 1 , cd nns in nnp nnp nnp ."
3,who said `` the only thing we have to fear is fear itself '' ?
5,where can i buy a good snowboard for less than $200 ?
OTHERS,what is the definition of a witch ?
4,how many types of lemurs are there ?
3,what famed clown appeared on an early howdy doody show and insisted that clarabell be made up as a real clown ?
OTHERS,what significant battle was fought in belgium in 1815 ?
OTHERS,"what according to the kinsey institute , is the sexual preference of four percent of american males ?"
3,who designed london bridge ?
5,what countries have the best math students ?
5,"when superman needs to get away from it all , where does he go ?"
OTHERS,what holidays or observances are celebrated in italy ?
OTHERS,what is paracetamol ?
4,how tall is the matterhorn ?
3,who was the only president to serve two nonconsecutive terms ?
OTHERS,what are all the different kinds of contraceptives ?
OTHERS,how would i find the price of different organs that have been donated ?
4,what time of year has the most air travel ?
4,how old is jeremy piven ?
OTHERS,what are the most albums sold by one artist or band ?
OTHERS,what d.h. lawrence novel was originally titled tenderness ?
OTHERS,what organ contains the islands of langerhans ?
OTHERS,what is the root of all evil ?
3,which of the following men was not married to rita hayworth ?
4,when was `` the great depression '' ?
OTHERS,what is smartnet ?
5,what planet gave bith to superman ?
OTHERS,why did david koresh ask the fbi for a word processor ?
4,when is the site www.questions.com going to open ?
5,where in a tree does photosynthesis occur ?
OTHERS,what was paul bunyan 's ox 's name ?
OTHERS,how do you make a million bucks ?
OTHERS,what 's the world 's most common compound ?
4,how many penny-farthings are there on a trivial pursuit game board ?
OTHERS,what is the taj majal made of ?
OTHERS,what is another word for diet ?
5,what country is the biggest producer of tungsten ?
OTHERS,what leoncavallo opera features a prologue by a clown ?
3,what future soviet dictator was training to be a priest when he got turned on to marxism ?
OTHERS,how is the word ` qigong ' pronounced ?
OTHERS,what is narcolepsy ?
OTHERS,what was simple simon fishing for in his mother 's pail ?
OTHERS,how is answers.com funded ?
5,what country was general douglas mcarthur in when he was recalled by president truman ?
4,what is the average salary of a paleontologist ?
4,in what year did joe dimaggio compile his 56-game hitting streak ?
OTHERS,what 's the hungarian word for pepper ?
OTHERS,what is the lens behind the iris in the eye called ?
3,who was red grange ?
OTHERS,what card suit originally represented the peasant class ?
OTHERS,which magazine is `` fine entertainment for men '' ?
OTHERS,"what is the claim to fame of agra , india ?"
3,which is the only dick tracy villain to appear three times ?
3,name the on stage character whose face was never seen .
3,in the past 8 years who have the mvp players for the nhl been ?
4,how many layers of yellow paint is a faber mongol pencil lucky enough to be sprayed with ?
3,what is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?
OTHERS,what book does holden caulfield appear in ?
5,where was tesla born ?
OTHERS,what is the most heavily caffeinated soft drink ?
OTHERS,how does general mills manufacture cheerios ?
OTHERS,how is silk screening done ?
3,what was called the world 's largest department store ?
4,how many times more than 3
OTHERS,which is the most-used computer program ?
5,what is the largest lake in north america ?
OTHERS,what are shooting stars ?
5,what ocean was amelia earhart flying over when she disappeared ?
OTHERS,what sign is the water carrier the zodiacal symbol for ?
3,what `` marvelous '' major-league baseball player is now a spokesman for a beer company ?
4,what percentage of the body is muscle ?
OTHERS,what is form drag ?
3,"who portrayed fatman in the television show , `` jake and the fatman '' ?"
2,what is hdlc ?
OTHERS,what is a mathematical factor ?
4,what is the probability that at least 2 out of 25 people will have the same birthday ?
OTHERS,what was the importance of magellan ?
4,how often are quadruplets born ?
OTHERS,what was the long march in china ?
5,in what u.s. state was the first woman governor elected ?
5,"what country has the most time zones , with 11 ?"
4,how many electoral college votes does colorado have ?
OTHERS,what field sport did dentist william beers promote and write a standard book of rules for ?
OTHERS,what were hairy bank notes in the fur trade ?
OTHERS,how can scientists predict weather by observing clouds ?
5,what are the nordic nations ?
5,what country do the galapagos islands belong to ?
3,"who was the mother of the man who would not be king , the duke of windsor ?"
OTHERS,what is a fear of childbirth ?
OTHERS,what is after death ?
OTHERS,what 's the name of the tokyo stock exchange ?
OTHERS,why is the development of space so important ?
OTHERS,what 's the dumbest domesticated animal ?
4,when did the last americans leave vietnam ?
5,what two countries fought the hundred years ' war ?
OTHERS,how do i increase my biceps ' size ?
5,what was known as the spice island ?
5,what state does martha stewart live in ?
OTHERS,"what was the claim to fame of the football game that saw fordham defeat waynesburg state 12601 on september 3 , 1939 ?"
OTHERS,what game does garry kasparov play ?
5,what is the name of the gulf between sweden and finland ?
3,which police department made the largest cocaine seizure ever in ventura county ?
OTHERS,what hollywood dog died in the arms of jean harlow in 1932 ?
OTHERS,how do i know if i am pregnant ?
4,how much did the minimum wage amount to in 1991 ?
3,who wrote unsafe at any speed ?
OTHERS,what british tv series featured emma peel ?
OTHERS,"which mammal lives , breeds , eats , and sleeps underground ?"
4,what time of year do most people fly ?
2,what does the channel espn stand for ?
3,who did sara jane moore try to assassinate ?
4,how many major nazi leaders went on trial after the war at nuremberg ?
OTHERS,what is being done about the millennium bug ?
OTHERS,what does `` extended definition '' mean and how would one write a paper on it ?
4,when was florida admitted into the union ?
5,what is the brightest star visible from earth ?
OTHERS,what is the origin of the atom ?
5,what country boasts the most cars per mile of road ?
5,what russian city boasts the hermitage museum ?
4,when did the use of `` the syringe '' first appear in medicinal history ?
3,what good little witch is casper 's girlfriend ?
3,who was the inventor of silly putty ?
4,how old was gene siskel ?
4,how many dogs pull a sled in the iditarod ?
5,where is the loop ?
OTHERS,what is a tonne ?
5,where does dew come from ?
4,how many calories are there in a big mac ?
3,who lives at 39 stone canyon way ?
5,what sea did the romans call mare nostrum ?
OTHERS,how do i love thee ?
3,name the marvel team loosely based on dc 's justice league of america ?
OTHERS,how did the bikini bathing suite get its name ?
5,what u.s. state includes the san juan islands ?
4,how far away is the moon ?
5,what is the capital of burkina faso ?
3,who invented basketball ?
OTHERS,why are the ears your center of balance ?
4,when was child labor abolished ?
3,what english queen had six fingers on one hand ?
OTHERS,what do players try to do when the music stops in a game of musical chairs ?
5,what ocean does mauritania border ?
3,what girl 's name is `` teddy '' an affectionate form of ?
3,"who provides telephone service in orange county , california ?"
5,what country did the romans call hibernia ?
OTHERS,what was mark johnson referring to when he said : `` i still can 't believe it- we beat the russians ? ''
5,what state in the u.s. has the most blacks ?
3,who made the largest cocaine seizure in ventura county history ?
4,how many feet are there in a fathom ?
OTHERS,how does james bond like his martinis ?
3,"who said , `` i shall return . '' during world war two ?"
OTHERS,how does a submarine operate ?
OTHERS,which condiment was once sold as a patent medicine ?
OTHERS,what does esa-pekka salonen look like ?
5,what asian country has a bill of rights for cows ?
5,"where is hearst castle , built by publisher william randolph hearst ?"
OTHERS,what is the difference between neoclassical art and romanticism art ?
OTHERS,what were popular songs and types of songs in the 1920s ?
3,who was the 3rd president of the united states ?
4,when was the first steel mill in the united states built ?
4,how many leos have been pope ?
OTHERS,what is the classic definition of tragic hero ?
OTHERS,what was the name of baretta 's cockatoo ?
3,what does nicholas cage do for a living ?
3,who followed up his first two underwater thrillers with the girl of the sea of cortez ?
5,what two countries ' coastlines border the bay of biscay ?
OTHERS,what is the difference between fatalism and determinism ?
4,"how much would it cost to purchase a 2-foot-square party tent , with sides , ?"
3,who 's won the most oscars for costume design ?
3,what was eduard shevardnadze 's job in the soviet union ?
OTHERS,what is the golden rule ?
5,what country is mount everest in ?
OTHERS,what language is mostly spoken in brazil ?
5,what state is known as the hawkeye state ?
5,what country is the worlds leading supplier of cannabis ?
4,the film `` jaws '' was made in what year ?
3,what is the name of miss india 1994 ?
OTHERS,what song put james taylor in the limelight ?
4,what season does a hiemal activity normally take place in ?
3,what are the characters ' names in the scooby-doo cartoon ?
3,which college did dikembe mutombo play basketball at ?
OTHERS,what did woody allen call the japanese gangster film he dubbed into english as a comedy ?
OTHERS,what happened to pepsi clear ?
2,what is a `` usb '' port on a computer ?
5,what are the only two states that incorporate the confederate battle flag in their flags ?
OTHERS,what is `` snoogans '' ?
5,where is the kentucky horse park located ?
4,what day of the week was july 13 ?
4,how much did lucy van pelt originally charge for psychiatric sessions ?
OTHERS,what did benny carter play ?
OTHERS,how do you dunk ?
OTHERS,the second most popular sport worldwide is what ?
OTHERS,"which is the largest clock , diameter wise , in europe ?"
4,how many calories are there in a glass of water ?
4,how long does a dog sleep ?
4,how many astronauts manned each project mercury flight ?
5,where are the leading medical groups specializing in lung diseases ?
OTHERS,what is a fear of being alone ?
5,what is the capital of italy ?
OTHERS,what was paper made of in the late 16th century ?
OTHERS,what did the gas house gang play ?
OTHERS,what program do i need to run a .tbk file ?
4,"in 1990 , what day of the week did christmas fall on ?"
OTHERS,what is a fear of passing high objects ?
OTHERS,what is a 2-sided object called ?
OTHERS,what format was the major competition of vhs ?
OTHERS,"what explosive do you get by mixing charcoal , sulfur and saltpeter ?"
OTHERS,why did several san diego schools stop serving apples to students ?
5,what are the biggest indian airports ?
3,what english queen had seventeen children ?
OTHERS,what color are seven of every 10 houses in the u.s. ?
4,how many points are there on a backgammon board ?
3,who is stationed at camp swampy in the comic strips ?
4,how many years ago did led zeppelin release its last album ?
OTHERS,why do magnets attract ?
4,how many flavors of ice cream does howard johnson 's have ?
4,how old is benny carter ?
OTHERS,what was the name of the peace agreement imposed on germany after world war i ?
OTHERS,"what boris pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?"
5,what country boasts the most dams ?
5,what city does orly airport serve ?
OTHERS,what is the origin of the first name ` breony ' ?
OTHERS,why were red m&ms discontinued then brought back ?
OTHERS,what non-alcoholic syrup is made from pomegranate juice ?
OTHERS,how does psorisis disappear ?
3,which radio stations air the jim bohannon radio talk show ?
OTHERS,what is the origin of the rock band led zeppelin 's name ?
OTHERS,what baseball expression came from the nautical term for ships sailing between the atlantic and pacific before the panama canal ?
OTHERS,what is the origin of the word `` sideburns '' ?
4,how many pairs of legs does a lobster have ?
OTHERS,what is butterfield 8 in butterfield 8 ?
OTHERS,"how can i find online spelling , and punctuation drills for my 6th grader ?"
4,how many grooves are on a dime 's edge ?
3,what company markets a shampoo `` for brunettes only '' ?
5,where did gulliver find a race of tiny people ?
OTHERS,what is the electronic device used to produce visual displays corresponding to electric signals ?
4,how many inches over six feet is tom selleck ?
5,where can i find lyrics for r&b ?
2,what does rca stand for ?
4,when did the original howdy doody show go off the air ?
OTHERS,what african animals are known as the big five ?
OTHERS,what does the term `` spaghetti western '' mean ?
5,what is the web address at which i can find the e-mail address of a member of the us house of representatives ?
OTHERS,what 's the most popular form of gambling with women in las vegas ?
OTHERS,what is the origin of the word `` pallbearer ? ''
OTHERS,what is a horologist ?
OTHERS,what happened to phillip taylor kramer ?
OTHERS,"what 1950 film won seven oscars , including best picture ?"
OTHERS,how do you do a bibliography page ?
OTHERS,how does salt melt ice and snow ?
OTHERS,what do camels store in their humps ?
OTHERS,what is idealab ! ?
OTHERS,what did cool hand luke go to jail for ?
3,which college did dikembe mutombo attend ?
OTHERS,how can i trace my family roots ?
OTHERS,what 's the difference between sleet and freezing rain ?
5,where on the internet can i get information about the fifth amendment on the american bill of rights ?
OTHERS,what is celebrated during the week of february 21-27 ?
OTHERS,what is a cartesian diver ?
3,which presidents of the usa were masons ?
3,what are the top 10 colleges in the united states in the field of engineering ?
OTHERS,what is the chemiosmotic theory ?
OTHERS,what is the name of a book written by aaron hass ?
4,when did mount st. helen last have a significant eruption ?
5,where can i find information about touring the philippines ?
OTHERS,"what 1942 espionage movie reunited director john huston with maltese falconers humphrey bogart , mary astor , and sidney greenstreet ?"
5,what country are godiva chocolates from ?
OTHERS,what famed tennis tournament 's men 's singles title was fred perry the last englishman to win ?
OTHERS,how do you identify prime numbers ?
OTHERS,how come a doughnut has a hole in it ?
5,what sea is bombay on ?
OTHERS,what is the fear of being loved ?
OTHERS,what does the policeman become in the canadian edition of monopoly ?
OTHERS,why is it called `` hamburger '' if there is no ham in it ?
5,what u.s. state records the least rainfall ?
OTHERS,what is amezaiku ?
3,what russian composer 's prelude in c sharp minor brought him fame and fortune ?
3,who is archie bunker 's son-in-law ?
3,what hard-of hearing artist painted sunflowers ?
4,how much iron is in your body ?
OTHERS,what is a devo hat ?
OTHERS,what kind of books does fodor 's publish ?
